5.1,3.5,1.4,.2,Setosa
5.0,3.9,1.6,0.3,Setosa
6.9,3.1,5.7,2.3,Virginica
6.3,2.2,4.5,1.5,Versicolor
6.3,3.1,4.5,1.6,Versicolor
4.6,3.2,1.4,0.2,Setosa
6.4,2.4,5.0,1.8,Virginica
5.9,3.2,4.7,1.7,Versicolor
6.7,3.1,4.4,1.3,Versicolor
7.1,3.6,6.0,2.6,Virginica
4.3,2.8,1.5,0.2,Setosa
5.2,3.3,1.4,0.2,Setosa
5.7,2.7,4.0,1.3,Versicolor
5.0,3.6,1.3,0.4,Setosa
6.7,3.1,4.4,1.4,Versicolor
6.9,3.2,5.8,2.2,Virginica
4.9,3.5,1.6,0.4,Setosa
5.9,2.9,4.8,1.8,Virginica
6.0,2.9,3.9,1.3,Versicolor
5.7,4.4,1.5,0.4,Setosa
5.2,3.9,1.5,0.4,Setosa
6.1,3.0,4.7,1.3,Versicolor
6.6,3.0,4.4,1.3,Versicolor
5.0,2.5,3.1,1.0,Versicolor
6.3,3.3,5.4,2.2,Virginica
7.5,2.8,6.1,1.9,Virginica
5.7,2.7,4.1,1.3,Versicolor
6.9,3.1,4.8,1.6,Versicolor
5.5,2.3,3.8,0.9,Versicolor
5.7,3.9,1.8,0.4,Setosa
5.7,2.6,4.0,1.1,Versicolor
5.5,3.4,1.6,0.2,Setosa
5.4,3.5,1.4,0.4,Setosa
7.6,3.1,6.6,2.2,Virginica
6.2,3.0,4.6,1.5,Versicolor
5.1,3.3,1.6,0.2,Setosa
6.9,3.2,5.6,2.2,Virginica
5.4,3.4,1.4,0.5,Setosa
5.1,1.9,3.5,1.0,Versicolor
5.1,3.5,1.6,0.1,Setosa
5.1,2.5,3.0,1.1,Versicolor
5.0,3.5,1.5,0.3,Setosa
6.7,3.2,5.7,2.2,Virginica
4.9,3.0,1.6,0.3,Setosa
5.6,4.3,1.4,0.2,Setosa
7.9,3.7,6.5,2.1,Virginica
5.0,3.3,1.6,0.5,Setosa
6.2,3.3,4.7,1.6,Versicolor
7.7,3.0,6.0,2.4,Virginica
4.9,3.7,1.4,0.2,Setosa
6.2,2.9,3.9,1.2,Versicolor
6.2,2.9,4.7,1.4,Versicolor
6.6,2.6,5.8,1.9,Virginica
